start;duration;pitch;velocity;instrument;string;fret;hammer;slides
23.30769230769231;0.11538461538461539;64;95;guitar;2;5;False;[]
23.423076923076927;0.11538461538461539;55;95;guitar;4;5;False;[]
23.53846153846154;0.11538461538461539;47;95;guitar;5;2;False;[]
23.653846153846157;0.11538461538461539;54;95;guitar;4;4;False;[]
23.769230769230774;0.11538461538461539;53;95;guitar;4;3;True;[]
23.884615384615387;0.11538461538461539;54;95;guitar;4;4;False;[]
24.000000000000004;0.11538461538461539;62;95;guitar;2;3;False;[]
24.115384615384617;0.11538461538461539;54;95;guitar;4;4;False;[]
24.230769230769234;0.11538461538461539;40;95;guitar;6;0;False;[]
24.34615384615385;0.11538461538461539;52;95;guitar;4;2;False;[]
24.461538461538463;0.11538461538461539;51;95;guitar;4;1;True;[]
24.57692307692308;0.11538461538461539;52;95;guitar;4;2;False;[]
24.692307692307697;0.11538461538461539;61;95;guitar;2;2;False;[]
24.80769230769231;0.11538461538461539;52;95;guitar;4;2;False;[]
24.923076923076927;0.11538461538461539;41;95;guitar;6;1;False;[]
25.03846153846154;0.11538461538461539;53;95;guitar;4;3;False;[]
25.153846153846157;0.11538461538461539;52;95;guitar;4;2;True;[]
25.269230769230774;0.11538461538461539;53;95;guitar;4;3;False;[]
25.384615384615387;0.11538461538461539;59;95;guitar;2;0;False;[]
25.500000000000004;0.11538461538461539;53;95;guitar;4;3;False;[]
25.615384615384617;0.11538461538461539;42;95;guitar;6;2;False;[]
25.730769230769234;0.11538461538461539;49;95;guitar;5;4;False;[]
25.84615384615385;0.11538461538461539;48;95;guitar;5;3;True;[]
25.961538461538463;0.11538461538461539;49;95;guitar;5;4;False;[]
26.07692307692308;0.11538461538461539;59;95;guitar;2;0;False;[]
26.192307692307697;0.11538461538461539;58;95;guitar;3;3;False;[]
26.30769230769231;0.11538461538461539;59;95;guitar;2;0;False;[]
26.423076923076927;0.11538461538461539;54;95;guitar;4;4;False;[]
26.53846153846154;0.11538461538461539;50;95;guitar;5;5;False;[]
26.653846153846157;0.11538461538461539;47;95;guitar;6;7;False;[]
26.769230769230774;0.11538461538461539;46;95;guitar;6;6;True;[]
26.884615384615387;0.11538461538461539;47;95;guitar;6;7;False;[]
27.000000000000004;0.11538461538461539;50;95;guitar;5;5;False;[]
27.11538461538462;0.11538461538461539;54;95;guitar;4;4;False;[]
27.230769230769234;0.11538461538461539;59;95;guitar;2;0;True;[]
27.34615384615385;0.11538461538461539;61;95;guitar;2;2;False;[]
27.461538461538463;0.11538461538461539;62;95;guitar;2;3;True;[]
27.57692307692308;0.11538461538461539;64;95;guitar;2;5;False;[]
27.692307692307697;0.11538461538461539;66;95;guitar;1;2;False;[]
27.80769230769231;0.11538461538461539;62;95;guitar;2;3;False;[]
27.923076923076927;0.11538461538461539;59;95;guitar;3;4;False;[]
28.03846153846154;0.11538461538461539;54;95;guitar;4;4;False;[]
28.153846153846157;0.11538461538461539;66;95;guitar;1;2;False;[]
28.269230769230774;0.11538461538461539;62;95;guitar;2;3;False;[]
28.384615384615387;0.11538461538461539;64;95;guitar;1;0;False;[]
28.500000000000004;0.11538461538461539;61;95;guitar;2;2;False;[]
28.61538461538462;0.11538461538461539;58;95;guitar;3;3;False;[]
28.730769230769234;0.11538461538461539;54;95;guitar;4;4;False;[]
28.84615384615385;0.11538461538461539;64;95;guitar;1;0;False;[]
28.961538461538463;0.11538461538461539;61;95;guitar;2;2;False;[]
29.07692307692308;0.11538461538461539;62;95;guitar;2;3;False;[]
29.192307692307697;0.11538461538461539;59;95;guitar;3;4;False;[]
29.30769230769231;0.11538461538461539;55;95;guitar;4;5;False;[]
29.423076923076927;0.11538461538461539;40;95;guitar;6;0;True;[]
29.53846153846154;0.11538461538461539;42;95;guitar;6;2;True;[]
29.653846153846157;0.11538461538461539;43;95;guitar;6;3;False;[]
29.769230769230774;0.11538461538461539;45;95;guitar;5;0;True;[]
29.884615384615387;0.11538461538461539;47;95;guitar;5;2;True;[]
30.000000000000004;0.11538461538461539;49;95;guitar;5;4;False;[]
30.11538461538462;0.11538461538461539;50;95;guitar;4;0;True;[]
30.230769230769234;0.11538461538461539;52;95;guitar;4;2;True;[]
30.34615384615385;0.11538461538461539;53;95;guitar;4;3;False;[]
30.461538461538463;0.11538461538461539;54;95;guitar;4;4;False;[]
30.57692307692308;0.11538461538461539;59;95;guitar;3;4;False;[]
30.692307692307697;0.11538461538461539;62;95;guitar;2;3;False;[]
30.80769230769231;0.11538461538461539;64;95;guitar;1;0;False;[]
30.923076923076927;0.11538461538461539;66;95;guitar;1;2;True;[]
31.03846153846154;0.11538461538461539;69;95;guitar;1;5;False;[]
31.153846153846157;0.11538461538461539;67;95;guitar;1;3;True;[]
31.269230769230774;0.11538461538461539;66;95;guitar;1;2;False;[]
31.384615384615387;0.11538461538461539;64;95;guitar;1;0;False;[]
